Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000018,false,Rx,0,8,46,50,00,00,00,00,00,96
0,0000002C,false,Rx,0,8,00,46,2E,00,00,00,00,74
0,00000050,false,Rx,0,8,00,01,00,00,00,00,00,01
0,000000A6,false,Rx,0,8,07,80,07,80,07,80,07,80
0,00000251,false,Rx,0,8,00,96,5E,00,00,00,00,F4
0,00000260,false,Rx,0,8,00,4A,C0,00,00,00,00,0A
0,00000316,false,Rx,0,8,00,01,00,00,00,00,00,01
0,00000544,false,Rx,0,8,00,00,00,00,00,00,00,00
0,00000593,false,Rx,0,8,B2,B4,B3,B5,00,00,00,00
0,000004F1,false,Rx,0,8,00,00,00,00,00,00,00,00
10000,00000018,false,Rx,0,8,46,56,00,00,00,00,00,9C
10000,0000002C,false,Rx,0,8,10,46,6C,00,00,00,00,C2
10000,00000050,false,Rx,0,8,00,01,00,00,00,00,00,01
10000,00000251,false,Rx,0,8,10,95,F2,00,00,00,00,97
10000,00000260,false,Rx,0,8,10,49,52,00,00,00,00,AB
20000,00000018,false,Rx,0,8,46,5C,02,00,00,00,00,A4
20000,0000002C,false,Rx,0,8,20,45,0A,00,00,00,00,6F
20000,00000050,false,Rx,0,8,00,01,00,00,00,00,00,01
20000,000000A6,false,Rx,0,8,07,90,07,90,07,90,07,90
20000,00000251,false,Rx,0,8,20,93,7B,00,00,00,00,2E
20000,00000260,false,Rx,0,8,20,48,26,00,00,00,00,8E
20000,00000316,false,Rx,0,8,00,01,00,00,00,00,00,01
20000,00000544,false,Rx,0,8,10,00,00,00,00,00,00,00
30000,00000018,false,Rx,0,8,46,62,01,00,00,00,00,A9
30000,0000002C,false,Rx,0,8,30,45,19,00,00,00,00,8E
30000,00000050,false,Rx,0,8,00,01,00,00,00,00,00,01
30000,00000251,false,Rx,0,8,30,91,73,00,00,00,00,34
30000,00000260,false,Rx,0,8,30,47,2F,00,00,00,00,A6
40000,00000018,false,Rx,0,8,46,69,01,00,00,00,00,B0
40000,0000002C,false,Rx,0,8,40,45,AA,00,00,00,00,2F
40000,00000050,false,Rx,0,8,00,01,00,00,00,00,00,01
40000,000000A6,false,Rx,0,8,07,A0,07,A0,07,A0,07,A0
40000,00000251,false,Rx,0,8,40,8F,99,00,00,00,00,68
40000,00000260,false,Rx,0,8,40,47,AD,00,00,00,00,34
40000,00000316,false,Rx,0,8,00,01,00,00,00,00,00,01
40000,00000544,false,Rx,0,8,20,00,00,00,00,00,00,00
50000,00000018,false,Rx,0,8,46,6F,01,00,00,00,00,B6
50000,0000002C,false,Rx,0,8,50,44,7C,00,00,00,00,10
50000,00000050,false,Rx,0,8,00,01,00,00,00,00,00,01
50000,00000251,false,Rx,0,8,50,8D,49,00,00,00,00,26
50000,00000260,false,Rx,0,8,50,46,F7,00,00,00,00,8D
60000,00000018,false,Rx,0,8,46,75,00,00,00,00,00,BB
60000,0000002C,false,Rx,0,8,60,44,40,00,00,00,00,E4
60000,00000050,false,Rx,0,8,00,01,00,00,00,00,00,01
60000,000000A6,false,Rx,0,8,07,B0,07,B0,07,B0,07,B0
60000,00000251,false,Rx,0,8,60,8C,ED,00,00,00,00,D9
60000,00000260,false,Rx,0,8,60,46,0F,00,00,00,00,B5
60000,00000316,false,Rx,0,8,00,01,00,00,00,00,00,01
60000,00000544,false,Rx,0,8,30,00,00,00,00,00,00,00
70000,00000018,false,Rx,0,8,46,7B,00,00,00,00,00,C1
70000,0000002C,false,Rx,0,8,70,44,69,00,00,00,00,1D
70000,00000050,false,Rx,0,8,00,01,00,00,00,00,00,01
70000,00000251,false,Rx,0,8,70,8A,1D,00,00,00,00,17
70000,00000260,false,Rx,0,8,70,45,DC,00,00,00,00,91
80000,00000018,false,Rx,0,8,46,82,03,00,00,00,00,CB
80000,0000002C,false,Rx,0,8,80,44,23,00,00,00,00,E7
80000,00000050,false,Rx,0,8,00,01,00,00,00,00,00,01
80000,000000A6,false,Rx,0,8,07,C0,07,C0,07,C0,07,C0
80000,00000251,false,Rx,0,8,80,88,D3,00,00,00,00,DB
80000,00000260,false,Rx,0,8,80,45,54,00,00,00,00,19
80000,00000316,false,Rx,0,8,00,01,00,00,00,00,00,01
80000,00000544,false,Rx,0,8,40,00,00,00,00,00,00,00
90000,00000018,false,Rx,0,8,46,88,00,00,00,00,00,CE
90000,0000002C,false,Rx,0,8,90,44,6A,00,00,00,00,3E
90000,00000050,false,Rx,0,8,00,01,00,00,00,00,00,01
90000,00000251,false,Rx,0,8,90,86,D5,00,00,00,00,EB
90000,00000260,false,Rx,0,8,90,44,DE,00,00,00,00,B2
100000,00000018,false,Rx,0,8,46,8E,00,00,00,00,00,D4
100000,0000002C,false,Rx,0,8,A0,44,6E,00,00,00,00,52
100000,00000050,false,Rx,0,8,00,01,00,00,00,00,00,01
100000,000000A6,false,Rx,0,8,07,D0,07,D0,07,D0,07,D0
100000,00000251,false,Rx,0,8,A0,84,44,00,00,00,00,68
100000,00000260,false,Rx,0,8,A0,44,50,00,00,00,00,34
100000,00000316,false,Rx,0,8,00,01,00,00,00,00,00,01
100000,00000544,false,Rx,0,8,50,00,00,00,00,00,00,00
100000,000004F1,false,Rx,0,8,10,00,00,00,00,00,00,10
110000,00000018,false,Rx,0,8,46,94,00,00,00,00,00,DA
110000,0000002C,false,Rx,0,8,B0,44,77,00,00,00,00,6B
110000,00000050,false,Rx,0,8,00,01,00,00,00,00,00,01
110000,00000251,false,Rx,0,8,B0,82,C6,00,00,00,00,F8
110000,00000260,false,Rx,0,8,B0,44,1B,00,00,00,00,0F
120000,00000018,false,Rx,0,8,46,9A,01,00,00,00,00,E1
120000,0000002C,false,Rx,0,8,C0,44,A8,00,00,00,00,AC
120000,00000050,false,Rx,0,8,00,01,00,00,00,00,00,01
120000,000000A6,false,Rx,0,8,07,E0,07,E0,07,E0,07,E0
120000,00000251,false,Rx,0,8,C0,80,7C,00,00,00,00,BC
120000,00000260,false,Rx,0,8,C0,44,33,00,00,00,00,37
120000,00000316,false,Rx,0,8,00,01,00,00,00,00,00,01
